"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"350847";"1 744,7177";"0,006";"31,600";"0,000"
"350848";"1 744,7217";"0,006";"31,560";"0,000"
"350849";"1 744,7257";"0,008";"31,560";"0,000"
"350850";"1 744,7297";"0,006";"31,530";"0,000"
"350851";"1 744,7350";"0,008";"31,530";"0,000"
"350852";"1 744,7403";"0,008";"31,530";"0,000"
"350853";"1 744,7457";"0,008";"31,615";"0,000"
"350854";"1 744,7502";"0,006";"31,615";"0,000"
"350855";"1 744,7548";"0,006";"31,565";"0,000"
"350856";"1 744,7593";"0,006";"31,565";"0,000"
"350857";"1 744,7639";"0,006";"31,585";"0,000"
"350858";"1 744,7684";"0,006";"31,585";"0,000"
"350859";"1 744,7730";"0,004";"31,540";"0,000"
"350860";"1 744,7775";"0,004";"31,540";"0,000"
"350861";"1 744,7829";"0,004";"31,540";"0,000"
"350862";"1 744,7883";"0,004";"31,635";"0,000"
"350863";"1 744,7937";"0,002";"31,635";"0,000"
"350864";"1 744,7990";"0,002";"31,625";"0,000"
"350865";"1 744,8043";"0,002";"31,625";"0,000"
"350866";"1 744,8096";"0,002";"31,630";"0,000"
"350867";"1 744,8150";"0,000";"31,630";"0,000"
"350868";"1 744,8203";"-0,002";"31,650";"0,000"
"350869";"1 744,8257";"-0,002";"31,650";"0,000"
"350870";"1 744,8310";"-0,002";"31,650";"0,000"
"350871";"1 744,8363";"-0,002";"31,570";"0,000"
"350872";"1 744,8416";"-0,002";"31,570";"0,000"
"350873";"1 744,8469";"-0,002";"31,580";"0,000"
"350874";"1 744,8522";"-0,002";"31,580";"0,000"
"350875";"1 744,8575";"-0,002";"31,560";"0,000"
"350876";"1 744,8628";"-0,002";"31,560";"0,000"
"350877";"1 744,8681";"-0,002";"31,565";"0,000"
"350878";"1 744,8735";"-0,002";"31,565";"0,000"
"350879";"1 744,8775";"-0,002";"31,600";"0,000"
"350880";"1 744,8815";"-0,004";"31,600";"0,000"
"350881";"1 744,8855";"-0,002";"31,600";"0,000"
"350882";"1 744,8895";"-0,002";"31,580";"0,000"
"350883";"1 744,8948";"-0,004";"31,580";"0,000"
"350884";"1 744,9001";"-0,002";"31,540";"0,000"
"350885";"1 744,9055";"-0,004";"31,540";"0,000"
"350886";"1 744,9100";"-0,004";"31,545";"0,000"
"350887";"1 744,9146";"-0,002";"31,545";"0,000"
"350888";"1 744,9191";"-0,006";"31,600";"0,000"
"350889";"1 744,9237";"-0,004";"31,600";"0,000"
"350890";"1 744,9283";"-0,004";"31,600";"0,000"
"350891";"1 744,9328";"-0,004";"31,645";"0,000"
"350892";"1 744,9374";"-0,004";"31,645";"0,000"
"350893";"1 744,9428";"-0,004";"31,580";"0,000"
"350894";"1 744,9481";"-0,004";"31,580";"0,000"
"350895";"1 744,9535";"-0,004";"31,580";"0,000"
"350896";"1 744,9588";"-0,004";"31,580";"0,000"
"350897";"1 744,9641";"-0,004";"31,640";"0,000"
"350898";"1 744,9694";"-0,004";"31,640";"0,000"
"350899";"1 744,9748";"-0,004";"31,605";"0,000"
"350900";"1 744,9801";"-0,004";"31,605";"0,000"
"350901";"1 744,9855";"-0,004";"31,605";"0,000"
"350902";"1 744,9907";"-0,002";"31,600";"0,000"
"350903";"1 744,9960";"-0,004";"31,600";"0,000"
"350904";"1 745,0012";"-0,004";"31,565";"0,000"
"350905";"1 745,0065";"-0,002";"31,565";"0,000"
"350906";"1 745,0117";"-0,004";"31,585";"0,000"
"350907";"1 745,0170";"-0,002";"31,585";"0,000"
"350908";"1 745,0222";"-0,002";"31,570";"0,000"
"350909";"1 745,0275";"-0,002";"31,570";"0,000"
"350910";"1 745,0315";"-0,002";"31,570";"0,000"
"350911";"1 745,0355";"-0,002";"31,650";"0,000"
"350912";"1 745,0395";"-0,002";"31,650";"0,000"
"350913";"1 745,0435";"-0,002";"31,640";"0,000"
"350914";"1 745,0488";"-0,002";"31,640";"0,000"
"350915";"1 745,0542";"-0,002";"31,585";"0,000"
"350916";"1 745,0595";"0,000";"31,585";"0,000"
"350917";"1 745,0647";"0,000";"31,550";"0,000"
"350918";"1 745,0700";"0,002";"31,550";"0,000"
"350919";"1 745,0752";"0,002";"31,550";"0,000"
"350920";"1 745,0805";"0,002";"31,680";"0,000"
"350921";"1 745,0857";"0,002";"31,680";"0,000"
"350922";"1 745,0910";"0,002";"31,690";"0,000"
"350923";"1 745,0962";"0,004";"31,690";"0,000"
"350924";"1 745,1014";"0,004";"31,565";"0,000"
"350925";"1 745,1054";"0,004";"31,565";"0,000"
"350926";"1 745,1094";"0,004";"31,660";"0,000"
"350927";"1 745,1134";"0,006";"31,660";"0,000"
"350928";"1 745,1173";"0,004";"31,635";"0,000"
"350929";"1 745,1227";"0,004";"31,635";"0,000"
"350930";"1 745,1280";"0,004";"31,635";"0,000"
"350931";"1 745,1334";"0,006";"31,580";"0,000"
"350932";"1 745,1379";"0,006";"31,580";"0,000"
"350933";"1 745,1425";"0,006";"31,645";"0,000"
"350934";"1 745,1470";"0,006";"31,645";"0,000"
"350935";"1 745,1516";"0,006";"31,605";"0,000"
"350936";"1 745,1562";"0,006";"31,605";"0,000"
"350937";"1 745,1607";"0,006";"31,590";"0,000"
"350938";"1 745,1653";"0,006";"31,590";"0,000"
"350939";"1 745,1707";"0,006";"31,590";"0,000"
"350940";"1 745,1761";"0,006";"31,605";"0,000"
"350941";"1 745,1814";"0,006";"31,605";"0,000"
"350942";"1 745,1868";"0,006";"31,570";"0,000"
"350943";"1 745,1921";"0,006";"31,570";"0,000"
"350944";"1 745,1974";"0,006";"31,595";"0,000"
"350945";"1 745,2027";"0,006";"31,595";"0,000"
"350946";"1 745,2081";"0,006";"31,620";"0,000"
"350947";"1 745,2134";"0,006";"31,620";"0,000"
"350948";"1 745,2187";"0,004";"31,595";"0,000"
"350949";"1 745,2240";"0,004";"31,595";"0,000"
"350950";"1 745,2294";"0,004";"31,595";"0,000"
"350951";"1 745,2347";"0,004";"31,600";"0,000"
"350952";"1 745,2400";"0,004";"31,600";"0,000"
"350953";"1 745,2453";"0,004";"31,610";"0,000"
"350954";"1 745,2506";"0,004";"31,610";"0,000"
"350955";"1 745,2559";"0,004";"31,675";"0,000"
"350956";"1 745,2612";"0,004";"31,675";"0,000"
"350957";"1 745,2653";"0,004";"31,660";"0,000"
"350958";"1 745,2693";"0,002";"31,660";"0,000"
"350959";"1 745,2733";"0,004";"31,660";"0,000"
"350960";"1 745,2773";"0,002";"31,615";"0,000"
"350961";"1 745,2826";"0,002";"31,615";"0,000"
"350962";"1 745,2880";"0,004";"31,685";"0,000"
"350963";"1 745,2933";"0,002";"31,685";"0,000"
"350964";"1 745,2987";"0,002";"31,630";"0,000"
"350965";"1 745,3041";"0,002";"31,630";"0,000"
"350966";"1 745,3094";"-0,002";"31,560";"0,000"
"350967";"1 745,3148";"0,000";"31,560";"0,000"
"350968";"1 745,3202";"0,000";"31,560";"0,000"
"350969";"1 745,3255";"0,000";"31,605";"0,000"
"350970";"1 745,3309";"0,000";"31,605";"0,000"
"350971";"1 745,3363";"-0,002";"31,675";"0,000"
"350972";"1 745,3416";"-0,002";"31,675";"0,000"
"350973";"1 745,3470";"-0,002";"31,625";"0,000"
"350974";"1 745,3524";"-0,002";"31,625";"0,000"
"350975";"1 745,3555";"-0,002";"31,600";"0,000"
"350976";"1 745,3587";"-0,002";"31,600";"0,000"
"350977";"1 745,3619";"-0,002";"31,670";"0,000"
"350978";"1 745,3650";"-0,002";"31,670";"0,000"
"350979";"1 745,3682";"-0,002";"31,670";"0,000"
"350980";"1 745,3736";"-0,004";"31,620";"0,000"
"350981";"1 745,3789";"-0,002";"31,620";"0,000"
"350982";"1 745,3843";"-0,004";"31,620";"0,000"
"350983";"1 745,3901";"-0,004";"31,620";"0,000"
"350984";"1 745,3958";"-0,002";"31,615";"0,000"
"350985";"1 745,4016";"-0,002";"31,615";"0,000"
"350986";"1 745,4074";"-0,002";"31,615";"0,000"
"350987";"1 745,4132";"-0,004";"31,615";"0,000"
"350988";"1 745,4190";"-0,004";"31,615";"0,000"
"350989";"1 745,4247";"-0,002";"31,635";"0,000"
"350990";"1 745,4305";"-0,004";"31,635";"0,000"
"350991";"1 745,4363";"-0,002";"31,590";"0,000"
"350992";"1 745,4421";"-0,002";"31,590";"0,000"
"350993";"1 745,4453";"-0,004";"31,630";"0,000"
"350994";"1 745,4485";"-0,002";"31,630";"0,000"
"350995";"1 745,4518";"-0,002";"31,560";"0,000"
"350996";"1 745,4550";"-0,002";"31,560";"0,000"
"350997";"1 745,4582";"-0,002";"31,665";"0,000"
"350998";"1 745,4635";"-0,002";"31,665";"0,000"
"350999";"1 745,4689";"-0,002";"31,665";"0,000"
"351000";"1 745,4742";"-0,002";"31,625";"0,000"
"351001";"1 745,4795";"-0,002";"31,625";"0,000"
"351002";"1 745,4848";"-0,002";"31,565";"0,000"
"351003";"1 745,4901";"-0,002";"31,565";"0,000"
"351004";"1 745,4955";"-0,002";"31,585";"0,000"
"351005";"1 745,5008";"-0,002";"31,585";"0,000"
"351006";"1 745,5061";"0,000";"31,585";"0,000"
"351007";"1 745,5114";"-0,002";"31,585";"0,000"
"351008";"1 745,5168";"-0,002";"31,585";"0,000"
"351009";"1 745,5221";"-0,002";"31,615";"0,000"
"351010";"1 745,5261";"0,000";"31,615";"0,000"
"351011";"1 745,5301";"0,000";"31,605";"0,000"
"351012";"1 745,5341";"0,002";"31,605";"0,000"
"351013";"1 745,5381";"0,000";"31,625";"0,000"
"351014";"1 745,5434";"0,002";"31,625";"0,000"
"351015";"1 745,5487";"0,002";"31,610";"0,000"
"351016";"1 745,5541";"0,002";"31,610";"0,000"
"351017";"1 745,5594";"0,002";"31,685";"0,000"
"351018";"1 745,5648";"0,004";"31,685";"0,000"
"351019";"1 745,5701";"0,002";"31,685";"0,000"
"351020";"1 745,5756";"0,006";"31,685";"0,000"
"351021";"1 745,5811";"0,004";"31,685";"0,000"
"351022";"1 745,5866";"0,006";"31,560";"0,000"
"351023";"1 745,5921";"0,006";"31,560";"0,000"
"351024";"1 745,5976";"0,006";"31,585";"0,000"
"351025";"1 745,6030";"0,006";"31,585";"0,000"
"351026";"1 745,6085";"0,006";"31,615";"0,000"
"351027";"1 745,6140";"0,006";"31,615";"0,000"
"351028";"1 745,6180";"0,006";"31,615";"0,000"
"351029";"1 745,6220";"0,006";"31,665";"0,000"
"351030";"1 745,6260";"0,006";"31,665";"0,000"
"351031";"1 745,6300";"0,006";"31,685";"0,000"
"351032";"1 745,6354";"0,004";"31,685";"0,000"
"351033";"1 745,6407";"0,004";"31,630";"0,000"
"351034";"1 745,6460";"0,002";"31,630";"0,000"
"351035";"1 745,6506";"0,004";"31,585";"0,000"
"351036";"1 745,6551";"0,002";"31,585";"0,000"
"351037";"1 745,6597";"0,002";"31,585";"0,000"
"351038";"1 745,6642";"0,000";"31,640";"0,000"
"351039";"1 745,6688";"-0,002";"31,640";"0,000"
"351040";"1 745,6733";"0,000";"31,660";"0,000"
"351041";"1 745,6779";"0,000";"31,660";"0,000"
"351042";"1 745,6832";"-0,002";"31,580";"0,000"
"351043";"1 745,6886";"-0,002";"31,580";"0,000"
"351044";"1 745,6940";"-0,002";"31,625";"0,000"
"351045";"1 745,6993";"-0,002";"31,625";"0,000"
"351046";"1 745,7046";"-0,002";"31,655";"0,000"
"351047";"1 745,7100";"-0,002";"31,655";"0,000"
"351048";"1 745,7153";"-0,002";"31,655";"0,000"
"351049";"1 745,7207";"-0,002";"31,610";"0,000"
"351050";"1 745,7260";"-0,002";"31,610";"0,000"
"351051";"1 745,7312";"-0,002";"31,635";"0,000"
